name,team,source_url,source_date,verified_on
LaMelo Ball,MIN,https://www.hoopsrumors.com/2026/07/wolves-hornets-nets-bulls-finalize-four-team-trade.html,2026-07-10,2026-07-13
Tyler Herro,MIL,https://www.espn.com/nba/story/_/id/49149967/bucks-trading-giannis-antetokounmpo-bobby-portis-heat-tyler-herro-kelel-ware-jaime-jaquez-jr-kasparas-jakucionis-picks,2026-07-06,2026-07-13
Jaylen Brown,PHI,https://www.nbcsportsphiladelphia.com/nba/philadelphia-76ers/sixers-trade-jaylen-brown-send-paul-george-and-picks-celtics-in-massive-trade/740307/,2026-07-01 (trade official 2026-07-06),2026-07-13
Cooper Flagg,DAL,https://sports.yahoo.com/articles/mavericks-rumors-insider-teases-another-214559243.html,2026-07,2026-07-13
Kevin Durant,HOU,https://basketballforever.com/2026/07/05/rockets-open-to-trading-kevin-durant-report,2026-07-05,2026-07-13
Stephen Curry,GSW,https://www.hoopsrumors.com/2026/07/warriors-notes-curry-lendeborg-cryer-post-gpii.html,July 2026,2026-07-13
Jaren Jackson Jr,UTA,https://www.nba.com/news/jaren-jackson-jr-trade-jazz-2026,2026-02-03,2026-07-13
Zion Williamson,NOP,https://bleacherreport.com/articles/25426401-pelicans-active-roster-draft-class-2026-27-salary-info-and-free-agents-after-nba-draft-results,accessed 2026-07-13,2026-07-13
Joel Embiid,PHI,https://www.usnews.com/news/sports/articles/2026-07-02/jaylen-brown-set-to-form-all-star-trio-with-joel-embiid-tyrese-maxey-in-philadelphia,2026-07-02,2026-07-13
James Harden,CLE,https://www.espn.com/nba/story/_/id/49671792/james-harden-agrees-3-year-97m-deal-remain-cavaliers,2026-08-20,2026-08-21
Anthony Davis,WAS,https://www.hoopshype.com/story/sports/nba/rumors/2026/07/10/rich-paul-says-anthony-davis-will-play-for-the-wizards/90873497007/,2026-07-10,2026-07-13
Ja Morant,POR,https://www.espn.com/nba/story/_/id/49218970/sources-grizzlies-trading-star-ja-morant-trail-blazers,2026-06-29,2026-07-13
Kyrie Irving,DAL,https://sports.yahoo.com/articles/mavericks-rumors-insider-teases-another-214559243.html,2026-07,2026-07-13
Jalen Johnson,ATL,https://www.si.com/nba/hawks/onsi/live-tracking-atlanta-hawks-depth-chart-after-every-free-agent-signing-01kwdt2x8f5t,accessed 2026-07-13,2026-07-13
Deni Avdija,POR,https://www.si.com/nba/trailblazers/onsi/portland-trail-blazers-depth-chart-projections-after-ja-morant-trade,accessed 2026-07-13,2026-07-13
Franz Wagner,ORL,https://x.com/OMagicHQ/status/1938413746969579581,accessed 2026-07-13,2026-07-13
Paolo Banchero,ORL,https://www.nba.com/player/1631094/paolo-banchero,accessed 2026-07-13,2026-07-13
Desmond Bane,ORL,https://www.nba.com/magic/player/1630217/desmond-bane,accessed 2026-07-13,2026-07-13
Tyrese Haliburton,IND,https://courtdepth.com/?courtdepth_team=IND&cd_ir=1&cd_mode=twoforty,accessed 2026-07-13,2026-07-13
Darius Garland,LAC,https://www.si.com/nba/clippers/onsi/every-move-clippers-have-made-offseason-signings-trades-departures-draft-picks-01kwc949j05r,accessed 2026-07-13,2026-07-13
Alperen Sengun,HOU,https://www.houstonpress.com/news/with-latest-signings-is-the-rockets-roster-set/,accessed 2026-07-13,2026-07-13
Amen Thompson,HOU,https://bleacherreport.com/articles/25426631-rockets-active-roster-draft-class-2026-27-salary-info-and-free-agents-after-nba-draft-results,accessed 2026-07-13,2026-07-13
Lauri Markkanen,UTA,https://bleacherreport.com/articles/25426179-jazzs-active-roster-draft-class-2026-27-salary-info-and-free-agents-after-nba-draft-results,accessed 2026-07-13,2026-07-13
Walker Kessler,LAL,https://www.espn.com/nba/story/_/id/49237403/lakers-trading-jazz-center-walker-kessler-sources-say,2026-07-01,2026-07-13
Kel'el Ware,MIL,https://www.espn.com/nba/story/_/id/49149967/bucks-trading-giannis-antetokounmpo-bobby-portis-heat-tyler-herro-kelel-ware-jaime-jaquez-jr-kasparas-jakucionis-picks,2026-07-06,2026-07-13
Rudy Gobert,MIN,https://www.si.com/nba/timberwolves/onsi/major-trades-done-wolves-turn-focus-to-power-forward-shooting,accessed 2026-07-13,2026-07-13
Myles Turner,MIL,https://lastwordonsports.com/basketball/2026/07/12/bucks-something-brewing/,2026-07-12,2026-07-13
Ivica Zubac,IND,https://www.hoopsrumors.com/2026/06/clippers-make-mathurin-miller-sanders-rfas.html,June 2026,2026-07-13
Jarrett Allen,CLE,https://bleacherreport.com/articles/25425835-cavaliers-active-roster-draft-class-2026-27-salary-info-and-free-agents-after-nba-draft-results,"2026-06/07 (post-draft, via search 2026-07-13)",2026-07-13
Nic Claxton,CHI,https://www.espn.com/nba/story/_/id/49149223/sources-wolves-trade-randle-nets-claxton-bulls,2026-06-22,2026-07-13
Cameron Boozer,MEM,https://www.espn.com/nba/story/_/id/49159094/grizzlies-nab-duke-cameron-boozer-no-3-nba-draft,2026-06-24,2026-07-13
AJ Dybantsa,WAS,https://www.espn.com/nba/story/_/id/49159019/kansas-peterson-lands-jazz-no-2-pick-nba-draft,2026-06-23 (draft),2026-07-13
Michael Porter Jr,BKN,https://www.hoopshype.com/story/sports/nba/2026/07/10/michael-porter-jr-trade-coming-if-the-nets-dont-extend-him/90879009007/,2026-07-10,2026-07-13
Jamal Murray,DEN,https://sports.yahoo.com/articles/where-nuggets-stand-trade-talks-205654285.html,2026-07,2026-07-13
Aaron Gordon,DEN,https://sports.yahoo.com/articles/where-nuggets-stand-trade-talks-205654285.html,2026-07,2026-07-13
Cam Johnson,DEN,https://sports.yahoo.com/articles/nba-rumors-nuggets-rejecting-cam-144728510.html,2026-07,2026-07-13
Pascal Siakam,IND,https://courtdepth.com/?courtdepth_team=IND&cd_ir=1&cd_mode=twoforty,accessed 2026-07-13,2026-07-13
Bennedict Mathurin,NOP,https://www.espn.com/nba/story/_/id/49732472/sources-pelicans-reach-2-year-16m-deal-bennedict-mathurin,2026-08-26,2026-08-26
Andrew Nembhard,IND,https://courtdepth.com/?courtdepth_team=IND&cd_ir=1&cd_mode=twoforty,accessed 2026-07-13,2026-07-13
Mikal Bridges,NYK,https://www.si.com/nba/knicks/onsi/tracking-every-knicks-move-during-free-agency-and-2026-offseason-signings-losses-trades-more-01kwctg6ykfn,accessed 2026-07-13,2026-07-13
OG Anunoby,NYK,https://www.si.com/nba/knicks/onsi/tracking-every-knicks-move-during-free-agency-and-2026-offseason-signings-losses-trades-more-01kwctg6ykfn,accessed 2026-07-13,2026-07-13
Josh Hart,NYK,https://www.si.com/nba/knicks/onsi/tracking-every-knicks-move-during-free-agency-and-2026-offseason-signings-losses-trades-more-01kwctg6ykfn,accessed 2026-07-13,2026-07-13
Mitchell Robinson,BOS,https://www.nba.com/news/mitchell-robinson-celtics-free-agency-2026,2026-07-06,2026-07-13
Jalen Williams,OKC,https://www.spotrac.com/nba/oklahoma-city-thunder/cap/_/year/2026,accessed 2026-07-13,2026-07-13
Isaiah Hartenstein,OKC,https://www.nba.com/news/thunder-sign-isaiah-hartenstein-through-2028-29-season,2026-07-06,2026-07-13
Luguentz Dort,ATL,https://www.espn.com/nba/story/_/id/49400155/thunder-send-dort-hawks-three-team-trade-sources-say,2026-07-19,2026-07-27
Alex Caruso,OKC,https://clutchpoints.com/nba/oklahoma-city-thunder/thunder-news-alex-caruso-trade-suitors-will-be-disappointed-insider-scoop,accessed 2026-07-13,2026-07-13
Cason Wallace,OKC,https://thunderousintentions.com/okc-thunder-may-take-their-time-on-major-cason-wallace-decision,accessed 2026-07-13,2026-07-13
Paul George,BOS,https://www.espn.com/nba/story/_/id/49241843/sources-celtics-sending-brown-76ers-george-picks,2026-07-01,2026-07-13
Derrick White,BOS,https://www.nbcsportsboston.com/nba/boston-celtics/updated-roster-depth-chart-contracts-jaylen-brown-trade/794057/,accessed 2026-07-13,2026-07-13
Payton Pritchard,BOS,https://www.nbcsportsboston.com/nba/boston-celtics/updated-roster-depth-chart-contracts-jaylen-brown-trade/794057/,accessed 2026-07-13,2026-07-13
Nikola Vucevic,ORL,https://www.espn.com/nba/story/_/id/49236864/sources-nikola-vucevic-reuniting-magic-1-year-deal,2026-07-01,2026-07-13
Sam Hauser,BOS,https://www.nbcsportsboston.com/nba/boston-celtics/updated-roster-depth-chart-contracts-jaylen-brown-trade/794057/,accessed 2026-07-13,2026-07-13
Neemias Queta,BOS,https://www.bostonglobe.com/2026/07/03/sports/neemias-queta-boston-celtics-contract-extension/,2026-07-03,2026-07-13
Cam Thomas,FA,https://www.yardbarker.com/nba/articles/why_cam_thomas_is_still_unsigned_as_nba_free_agency_drags_on/s1_17776_44164367,accessed 2026-08-18,2026-08-18
Egor Demin,BKN,https://www.deseret.com/sports/2026/07/04/egor-demin-leads-brooklyn-nets-summer-league-sacramento-kings/,2026-07-04,2026-07-13
Mikel Brown,BKN,https://www.netsdaily.com/nets-news/110995/brooklyn-nets-select-mikel-brown-jr-with-6-overall-pick-nba-draft,2026-06-23,2026-07-13
Jalen Wilson,ATL,https://www.nba.com/hawks/news/atlanta-hawks-sign-forward-jalen-wilson-to-two-way-contract,2026-07-20,2026-07-27
Brandon Miller,CHA,https://heavy.com/sports/nba/charlotte-hornets/starting-lineup-lamelo-ball-trade/,"2026-07 (post-Ball trade, via search 2026-07-13)",2026-07-13
Kon Knueppel,CHA,https://heavy.com/sports/nba/charlotte-hornets/starting-lineup-lamelo-ball-trade/,"2026-07 (post-Ball trade, via search 2026-07-13)",2026-07-13
Collin Sexton,LAL,https://www.hoopsrumors.com/2026/07/lakers-collin-sexton-agree-to-two-year-deal.html,2026-07-12,2026-07-13
Moussa Diabate,CHA,https://www.hoopsrumors.com/2026/06/hornets-guarantee-diabates-contract.html,2026-06-01,2026-07-13
Hannes Steinbach,CHA,https://www.foxcarolina.com/2026/07/06/hornets-sign-2026-draft-class-rookie-contracts/,2026-07-06,2026-07-13
Liam McNeeley,CHA,https://lastwordonsports.com/basketball/2026/07/10/hornets-liam-mcneeley/,2026-07-10,2026-07-13
Josh Giddey,CHI,https://www.cbssports.com/fantasy/basketball/news/bulls-josh-giddey-frontcourt-additions-incoming/,"2026-07 (post-Claxton trade, via search 2026-07-13)",2026-07-13
Anfernee Simons,PHI,https://www.espn.com/nba/story/_/id/49250070/sources-anfernee-simons-agrees-deal-revamped-76ers,2026-07-02,2026-07-13
Coby White,CHA,https://atthehive.com/2026/06/25/charlotte-hornets-to-re-sign-coby-white-to-three-year-deal/,2026-06-25,2026-07-13
Matas Buzelis,CHI,https://chicago.suntimes.com/bulls/2026/05/30/bulls-offseason-position-analysis-matas-buzelis,2026-05-30,2026-07-13
Caleb Wilson,CHI,https://chicago.suntimes.com/bulls/2026/06/26/bulls-draft-choice-caleb-wilson-hunting-rookie-of-the-year,2026-06-26,2026-07-13
Ayo Dosunmu,MIN,https://www.espn.com/nba/story/_/id/49150075/dosunmu-gets-5-year-112m-deal-timberwolves,2026-07-10,2026-07-13
Dailyn Swain,CHI,https://wgntv.com/sports/bulls/chicago-bulls-take-dailyn-swain-with-the-no-15-pick-in-the-2026-nba-draft/,2026-06 (draft week),2026-07-13
De'Andre Hunter,SAC,https://www.cbssports.com/fantasy/basketball/news/kings-deandre-hunter-role-uncertain-going-forward/,2026-06/07 (post-2026 draft),2026-07-13
Max Strus,LAC,https://www.espn.com/nba/story/_/id/49664656/peyton-watson-cavaliers-max-strus-clippers-part-multi-team-trade-nuggets,2026-08-19,2026-08-20
Dereck Lively,DAL,https://www.si.com/nba/mavericks/onsi/dereck-lively-ii-injury-update-could-force-dallas-mavericks-hand-daniel-gafford-,2026-07,2026-07-13
Daniel Gafford,DAL,https://sports.yahoo.com/articles/mavericks-receive-tough-daniel-gaffords-232757248.html,2026-07,2026-07-13
PJ Washington,DAL,https://www.spotrac.com/nba/player/_/id/31569/pj-washington,accessed 2026-07-13,2026-07-13
Klay Thompson,MIA,https://www.nba.com/news/klay-thompson-heat-2026-free-agency,2026-08-23,2026-08-25
Christian Braun,DEN,https://www.hoopsrumors.com/2026/07/nuggets-notes-braun-bamba-brazile-valanciunas.html,2026-07,2026-07-13
Jalen Duren,DET,https://heavy.com/sports/nba/detroit-pistons/pistons-jalen-duren-contract-talks/,2026-07,2026-07-13
Ausar Thompson,DET,https://fadeawayworld.net/nba-trade-rumors/detroit-pistons/nba-rumors-pistons-could-make-a-major-move-after-trade-with-bucks,2026-07,2026-07-13
Jaden Ivey,FA,https://www.spotrac.com/nba/player/_/id/78111/jaden-ivey,accessed 2026-08-18,2026-08-18
Isaiah Stewart,MEM,https://www.espn.com/nba/story/_/id/49170745/sources-pistons-trading-isaiah-stewart-grizzlies,2026-07-08,2026-07-13
Tobias Harris,SAS,https://www.detroitnews.com/story/sports/nba/pistons/2026/07/01/tobias-harris-signs-san-antonio-spurs/90773880007/,2026-07-01,2026-07-13
Ebuka Okorie,DET,https://www.clickondetroit.com/sports/2026/06/24/detroit-pistons-trade-4-picks-to-select-stanford-g-ebuka-okorie-with-no-17-overall-pick-in-2026-nba-draft/,2026-06-24,2026-07-13
Jimmy Butler,GSW,https://sports.yahoo.com/articles/warriors-rumors-jimmy-butler-expected-215500976.html,July 2026 (accessed 2026-07-13),2026-07-13
Kristaps Porzingis,GSW,https://www.espn.com/nba/story/_/id/49220120/kristaps-porzingis-agrees-2-year-40m-deal-warriors,2026-06-30,2026-07-13
Jonathan Kuminga,MIN,https://www.nba.com/news/jonathan-kuminga-wolves-free-agency,2026-08-26,2026-08-27
Brandin Podziemski,GSW,https://www.si.com/nba/warriors/onsi/report-warriors-had-trade-suitor-for-brandin-podziemski-at-deadline-01krhp640bar,accessed 2026-07-13,2026-07-13
Draymond Green,GSW,https://www.nba.com/news/draymond-green-warriors-free-agency-2026,2026-07-28,2026-08-13
De'Anthony Melton,GSW,https://www.hoopshype.com/story/sports/nba/2026/07/01/warriors-deanthony-melton-agree-to-two-year-deal/90769337007/,2026-07-01,2026-07-13
Yaxel Lendeborg,GSW,https://warriors.com/news/warriors-round-1-20260623,2026-06-23,2026-07-13
Jabari Smith Jr,HOU,https://clutchpoints.com/nba/houston-rockets/rockets-quiet-trade-deadline-reed-sheppard,accessed 2026-07-13,2026-07-13
Reed Sheppard,HOU,https://www.si.com/nba/rockets/onsi/the-houston-rockets-upcoming-contract-qualifying-offer-decisions,accessed 2026-07-13,2026-07-13
Tari Eason,HOU,https://dknetwork.draftkings.com/2026/06/29/nba-free-agency-tracker/,accessed 2026-07-13,2026-07-13
Fred VanVleet,HOU,https://www.espn.com/nba/story/_/id/49214998/fred-vanvleet-exercise-25m-player-option-rockets,June 2026,2026-07-13
Clint Capela,HOU,https://www.houstonpress.com/news/with-latest-signings-is-the-rockets-roster-set/,accessed 2026-07-13,2026-07-13
Aaron Nesmith,IND,https://courtdepth.com/?courtdepth_team=IND&cd_ir=1&cd_mode=twoforty,accessed 2026-07-13,2026-07-13
Obi Toppin,IND,https://roundtable.io/sports/nba/pacers/news/pacers-projected-rotation-following-the-kelly-oubre-jr-signing,accessed 2026-07-13,2026-07-13
Kelly Oubre,IND,https://www.forbes.com/sites/tonyeast/2026/07/01/indiana-pacers-to-sign-free-agent-wing-kelly-oubre-to-two-year-deal/,2026-07-01,2026-07-13
John Collins,DET,https://www.espn.com/nba/story/_/id/49235613/sources-pistons-land-potential-starting-pf-john-collins,2026-07-01,2026-07-13
Brook Lopez,LAC,https://www.hoopsrumors.com/2026/06/clippers-exercise-brook-lopezs-option-pass-on-bogdanovic-batum.html,2026-06,2026-07-13
Bogdan Bogdanovic,HOU,https://www.espn.com/nba/story/_/id/49233123/sources-rockets-agree-1-year-deal-bogdan-bogdanovic,2026-07-01,2026-07-13
Derrick Jones Jr,LAC,https://www.si.com/nba/clippers/onsi/every-move-clippers-have-made-offseason-signings-trades-departures-draft-picks-01kwc949j05r,accessed 2026-07-13,2026-07-13
Andre Drummond,NYK,https://www.espn.com/nba/story/_/id/49262566/andre-drummond-reaches-1-year-deal-new-york-knicks,2026-07-03,2026-07-13
Austin Reaves,LAL,https://www.nba.com/news/austin-reaves-lakers-free-agency-2026,2026-07-01,2026-07-13
Rui Hachimura,LAC,https://www.espn.com/nba/story/_/id/49286926/rui-hachimura-clippers-agree-2-year-28m-deal,2026-07-06,2026-07-13
Marcus Smart,HOU,https://www.hoopsrumors.com/2026/07/rockets-marcus-smart-agree-to-two-year-deal.html,2026-07-01,2026-07-13
Dalton Knecht,LAL,https://sports.yahoo.com/articles/lakers-exploring-dalton-knecht-trade-011034939.html,accessed 2026-07-13,2026-07-13
Zach Edey,MEM,https://www.nba.com/news/cameron-boozer-winner-grizzlies,accessed 2026-07-13,2026-07-13
Jerami Grant,MEM,https://www.espn.com/nba/story/_/id/49218970/sources-grizzlies-trading-star-ja-morant-trail-blazers,2026-06-30,2026-07-13
GG Jackson,MEM,https://www.nba.com/grizzlies/news/grizzlies-exercise-2026-27-contract-options-on-gg-jackson-ii-and-olivier-maxence-prosper,2026-06,2026-07-13
Jaylen Wells,MEM,https://www.espn.com/nba/player/_/id/5112087/jaylen-wells,accessed 2026-07-13,2026-07-13
Santi Aldama,DAL,https://www.espn.com/nba/story/_/id/49243066/sources-mavericks-add-7-footer-aldama-trade-grizzlies,2026-07-01,2026-07-13
Kris Murray,MEM,https://www.espn.com/nba/story/_/id/49218970/sources-grizzlies-trading-star-ja-morant-trail-blazers,2026-06-30,2026-07-13
Norman Powell,CHI,https://hothothoops.com/2026/07/01/what-is-next-miami-heat-norman-powell-departure-chicago-bulls/,2026-07-01,2026-07-13
Andrew Wiggins,MIA,https://www.espn.com/nba/story/_/id/49216841/heat-andrew-wiggins-reach-3-year-64m-deal-sources-say,2026-06-29,2026-07-13
Bobby Portis,MIA,https://www.espn.com/nba/story/_/id/49149967/bucks-trading-giannis-antetokounmpo-bobby-portis-heat-tyler-herro-kelel-ware-jaime-jaquez-jr-kasparas-jakucionis-picks,2026-07-06,2026-07-13
Davion Mitchell,MIA,https://www.si.com/nba/heat/onsi/the-state-of-the-miami-heat-roster-prior-to-free-agency-01kwb9697ccy,accessed 2026-07-13,2026-07-13
Kyle Kuzma,MIL,https://lastwordonsports.com/basketball/2026/07/12/bucks-something-brewing/,2026-07-12,2026-07-13
Kasparas Jakucionis,MIL,https://www.espn.com/nba/story/_/id/49149967/bucks-trading-giannis-antetokounmpo-bobby-portis-heat-tyler-herro-kelel-ware-jaime-jaquez-jr-kasparas-jakucionis-picks,2026-07-06,2026-07-13
Gary Trent Jr,MIL,https://www.hoopsrumors.com/2026/07/bucks-re-signing-gary-trent-jr-to-four-year-deal.html,2026-07 (accessed 2026-07-13),2026-07-13
AJ Green,MIL,https://www.cbssports.com/nba/players/3041713/aj-green/,accessed 2026-07-13,2026-07-13
Kevin Porter Jr,MIL,https://www.brewhoop.com/bucks-free-agency-rumors-news/67056/kevin-porter-jr-milwaukee-player-option,accessed 2026-07-13,2026-07-13
Julius Randle,BKN,https://www.hoopshype.com/story/sports/nba/rumors/2026/07/10/at-long-last-the-lamelo-ball-trade-is-official/90881961007/,2026-07-10,2026-07-13
Jaden McDaniels,MIN,https://bleacherreport.com/articles/25443481-wolves-reportedly-refused-kawhi-harden-trade-jaden-mcdaniels-only-available-giannis-jokic,accessed 2026-07-13,2026-07-13
Naz Reid,CHA,https://www.espn.com/nba/story/_/id/49175343/hornets-trade-ball-timberwolves-reid-picks,2026-07-10,2026-07-13
Rob Dillingham,CHI,https://www.nba.com/player/1642265/rob-dillingham,accessed 2026-07-13,2026-07-13
Terrence Shannon Jr,MIN,https://www.nba.com/player/1630545/terrence-shannon-jr,accessed 2026-07-13,2026-07-13
Donte DiVincenzo,MIN,https://www.hoopshype.com/story/sports/nba/2026/06/25/timebrwolves-not-trading-donte-divincenzo/90698369007/,2026-06-25,2026-07-13
Trey Murphy III,NOP,https://sports.yahoo.com/articles/orleans-pelicans-want-keep-trey-234039498.html,accessed 2026-07-13,2026-07-13
Dejounte Murray,NOP,https://www.si.com/nba/pelicans/onsi/odds-dejounte-murray-trade-increased-surprise-julius-randle-deal-01kvszzermg7,accessed 2026-07-13,2026-07-13
Herb Jones,NOP,https://sports.yahoo.com/articles/lakers-named-landing-spot-68-194059289.html,accessed 2026-07-13,2026-07-13
Jeremiah Fears,NOP,https://www.si.com/nba/pelicans/onsi/pelicans-summer-league-decision-derik-queen-jeremiah-fears-baffling-01kx78sbjb99,accessed 2026-07-13,2026-07-13
Yves Missi,NOP,https://www.nbcsports.com/fantasy/basketball/player-news/2026-07-02/report-pels-rebuff-trade-offers-for-yves-missi,2026-07-02,2026-07-13
Derik Queen,NOP,https://www.si.com/nba/pelicans/onsi/pelicans-summer-league-decision-derik-queen-jeremiah-fears-baffling-01kx78sbjb99,accessed 2026-07-13,2026-07-13
Jordan Poole,NOP,https://bleacherreport.com/articles/25426401-pelicans-active-roster-draft-class-2026-27-salary-info-and-free-agents-after-nba-draft-results,accessed 2026-07-13,2026-07-13
Cam Whitmore,CLE,https://www.hoopshype.com/story/sports/nba/rumors/2026/08/21/cavs-discussing-waive-and-stretch-for-cam-whitmore/91401003007/,2026-08-21,2026-08-21
Jalen Suggs,ORL,https://x.com/OMagicHQ/status/1938413746969579581,accessed 2026-07-13,2026-07-13
Wendell Carter Jr,ORL,https://x.com/OMagicHQ/status/1938413746969579581,accessed 2026-07-13,2026-07-13
Anthony Black,ORL,https://www.nba.com/player/1641710/anthony-black,accessed 2026-07-13,2026-07-13
Jared McCain,OKC,https://www.nba.com/news/thunder-sixers-jared-mccain-trade,2026-02-04,2026-07-13
VJ Edgecombe,PHI,https://www.inquirer.com/sixers/sixers-vj-edgecombe-jaylen-brown-trade-lebron-james-summer-league-20260713.html,2026-07-13,2026-07-13
Quentin Grimes,LAL,https://www.hoopsrumors.com/2026/07/lakers-to-sign-quentin-grimes-to-four-year-contract.html,2026-07-01 (signed 2026-07-07),2026-07-13
Labaron Philon,PHI,https://www.libertyballers.com/76ers-draft-rumors-news/94759/2026-nba-draft-sixers-22-labaron-philon,2026-06-23,2026-07-13
Jalen Green,PHX,https://burncitysports.com/2026/06/29/phoenix-suns-jalen-green-trade-predi/,2026-06-29,2026-07-13
Dillon Brooks,PHX,https://burncitysports.com/2026/07/06/suns-dillon-brooks-villain-goal/,2026-07-06,2026-07-13
Mark Williams,PHX,https://www.nba.com/news/mark-williams-return-to-suns,2026-07-07,2026-07-13
Khaman Maluach,PHX,https://arizonasports.com/nba/phoenix-suns/khaman-maluach-shows-night-and-day-difference-2nd-summer-league,2026-07 (accessed 2026-07-13),2026-07-13
Royce O'Neale,CHA,https://arizonasports.com/nba/phoenix-suns/suns-trade-grayson-allen-royce-oneale-miles-bridges-future-draft-picks,2026-06-28,2026-07-13
Grayson Allen,CHA,https://arizonasports.com/nba/phoenix-suns/suns-trade-grayson-allen-royce-oneale-miles-bridges-future-draft-picks,2026-06-28,2026-07-13
Shaedon Sharpe,POR,https://www.nbcsports.com/nba/news/portlands-shaedon-sharpe-tears-meniscus-out-six-months,2026-08-24,2026-08-25
Jrue Holiday,POR,https://www.blazersedge.com/trail-blazers-news/113874/ja-morant-trade-portland-trail-blazers-jrue-holiday-scoot-henderson,accessed 2026-07-13,2026-07-13
Toumani Camara,POR,https://www.si.com/nba/trailblazers/onsi/portland-trail-blazers-depth-chart-projections-after-ja-morant-trade,accessed 2026-07-13,2026-07-13
Donovan Clingan,POR,https://www.si.com/nba/trailblazers/onsi/portland-trail-blazers-depth-chart-projections-after-ja-morant-trade,accessed 2026-07-13,2026-07-13
Scoot Henderson,POR,https://www.si.com/nba/trailblazers/onsi/portland-trail-blazers-depth-chart-projections-after-ja-morant-trade,accessed 2026-07-13,2026-07-13
Damian Lillard,POR,https://www.si.com/nba/trailblazers/onsi/portland-trail-blazers-depth-chart-projections-after-ja-morant-trade,accessed 2026-07-13,2026-07-13
DeMar DeRozan,DEN,https://www.espn.com/nba/story/_/id/49684447/nuggets-signing-6-all-star-demar-derozan-1-year-deal,2026-08-21,2026-08-25
Zach LaVine,SAC,https://www.hoopsrumors.com/2026/06/zach-lavine-to-exercise-49mm-player-option.html,accessed 2026-07-13,2026-07-13
Keegan Murray,SAC,https://www.nba.com/news/keegan-murray-kings-agree-rookie-extension-5-years,accessed 2026-07-13,2026-07-13
